Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,100.0,99.15365600585942,99.1971282958984,99.2399139404297,100.0,100.0,100.0,100.0,100.0,100.0,91.660400390625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.35629272460942,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
New Zealand,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nauru,98.99908447265629,99.0413055419922,99.0834197998047,99.1248550415039,99.16492462158199,99.2029571533203,99.2382659912109,99.2701797485352,99.2980117797852,99.3210067749023,99.4370880126953,99.4156341552734,99.38658905029301,99.3523178100586,99.31515502929692,99.2774505615234,99.2416305541992,99.8000030517578,99.18624877929692,99.17211151123051,99.1706314086914,99.0,99.2164459228516,99.2682113647461,99.3377914428711,99.0,99.71288299560551,99.8700408935547,99.92822265625,100.0,100.0
Norway,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Netherlands,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nigeria,27.3,35.23460006713871,36.099460601806605,36.9636459350586,37.826469421386705,38.6872520446777,39.545318603515604,40.3999824523926,41.2505683898926,44.9,43.1214599609375,43.880672454834006,44.6323013305664,52.2000007629395,46.122200012207,46.865169525146506,47.610015869140604,50.1309204101563,50.2999992370605,49.8825073242188,48.0,55.9000015258789,53.2312431335449,55.5999984741211,54.0482292175293,52.5,59.2999992370605,54.4000015258789,56.5,55.4000015258789,55.4000015258789
New Caledonia,99.8443069458008,99.8758163452148,99.90686798095699,99.937255859375,99.96508026123051,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
North America,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mauritius,99.04156494140629,99.0706787109375,99.0996780395508,99.1280059814453,99.15496826171879,99.1798858642578,99.2020950317383,99.2208938598633,99.2356185913086,99.2455062866211,99.0,99.2647247314453,99.4000015258789,99.18551635742192,99.14041137695308,99.0947647094727,99.0509872436523,99.0117416381836,98.9797210693359,98.95763397216801,99.69000244140629,99.5999984741211,99.5686187744141,99.4805068969727,99.38037109375,99.3616104125977,99.48001098632808,99.6100006103516,99.44884490966801,100.0,99.66165161132808
Northern Mariana Islands,99.85326385498051,99.8843765258789,99.91503143310551,99.9449234008789,99.9716415405273,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9876327514648,99.9618988037109,99.9228057861328,99.8775787353516,99.83319091796879,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
