Country Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,100.0,93.35629272460942,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Africa Eastern and Southern,26.1815567981524,27.5571371356059,29.0898268292514,31.8443844038242,31.794159992765998,32.001026781227004,33.871910464612895,38.8801732244203,40.261357595893,43.061876950923995,44.27086047893379,45.803485229386794
Afghanistan,46.7400512695313,42.7000007629395,43.222019195556605,69.09999847412111,68.2906494140625,89.5,71.5,97.6999969482422,97.6999969482422,96.6161346435547,97.6999969482422,97.6999969482422
Africa Western and Central,41.8168606925896,41.799857956191396,45.911473978079606,44.1679733535959,47.0483161636866,47.5993227916858,46.766294363927706,50.953486684310505,48.8611912179155,51.259711642201204,51.290192989664796,52.1116010037919
Angola,33.802188873291,34.895637512206996,34.5999984741211,37.131320953369105,38.2780303955078,32.0,42.0,41.81312942504879,43.01325988769529,45.290000915527294,45.6427993774414,46.8906097412109
Albania,100.0,100.0,100.0,99.9000015258789,100.0,99.9499969482422,99.9800033569336,99.8899993896484,99.8899993896484,100.0,100.0,100.0
Andorra,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Arab World,84.3134837956566,87.11486281459699,87.33266124002729,87.0395883900211,88.992619805618,88.0153561759997,88.68188567069599,89.195062354407,90.32465949054631,88.9107494038454,89.99994555041141,90.2777350826821
United Arab Emirates,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Argentina,97.7506561279297,98.8199996948242,99.0953521728516,99.22998046875,99.3426742553711,100.0,99.6253890991211,99.84957885742192,100.0,99.9895782470703,100.0,100.0
Armenia,99.2275009155273,99.8000030517578,99.6057968139648,99.62896728515629,99.4199981689453,99.7099990844727,100.0,99.8000030517578,99.6999969482422,99.9000015258789,100.0,100.0
Antigua and Barbuda,98.4812774658203,98.5972366333008,94.5520172119141,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Australia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,99.8542251586914,99.9437942504883,99.9000015258789,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Burundi,5.3990168571472195,5.300000190734861,6.12268400192261,6.5,6.900000095367429,7.0,8.42765235900879,9.348409652709961,9.30000019073486,10.884908676147498,11.3565282821655,11.735555648803699
Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Benin,29.9751510620117,34.2000007629395,36.9000015258789,38.4000015258789,34.691219329834,34.0999984741211,29.6200008392334,37.095245361328104,34.5,39.246917724609396,40.3286895751953,41.410957336425795
Burkina Faso,12.630000114440902,13.1000003814697,14.8084144592285,15.1179943084717,15.405642509460401,19.2000007629395,16.0769748687744,16.641056060790998,17.2140426635742,14.3999996185303,18.3748550415039,18.957239151001
Bangladesh,57.56884765625,55.2599983215332,59.5999984741211,66.1555709838867,61.5,62.4000015258789,74.9037399291992,75.9199981689453,88.0,91.8000030517578,92.1999969482422,96.1999969482422
Bulgaria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6999969482422
Bahrain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Bahamas, The",100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bosnia and Herzegovina,100.0,100.0,99.70578002929692,100.0,99.5,100.0,99.6999969482422,100.0,100.0,100.0,100.0,100.0
Belarus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belize,86.84542846679692,89.9172210693359,91.68173217773442,90.9959182739258,91.1861038208008,91.3642578125,91.8000030517578,93.2223129272461,94.1890106201172,91.72000122070308,92.72000122070308,97.1133346557617
Bermuda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bolivia,86.76559448242192,87.8863143920898,88.33594512939449,90.3873748779297,89.5056838989258,90.03872680664058,91.52281951904301,91.8000030517578,91.8000030517578,92.8000030517578,95.0800018310547,97.5541229248047
Brazil,98.85694122314449,98.5999984741211,99.3286895751953,99.5194931030273,99.5751495361328,99.6502456665039,99.7108993530273,99.6999969482422,99.8000030517578,99.6999969482422,99.8000030517578,100.0
Barbados,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Brunei Darussalam,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bhutan,71.5038986206055,73.2829132080078,81.76708984375,91.5,87.45114135742192,91.48351287841801,95.5307159423828,99.5897903442383,97.6999969482422,99.974365234375,100.0,100.0
